date,AAPL,activity,sentiment,date,SPY,activity,sentiment,date,TSLA,activity,sentiment
1/3/22,AAPL,0.0477,1,1/3/22,SPY,0.0223,4,1/3/22,TSLA,0.0795,1
1/4/22,AAPL,0.0371,0,1/4/22,SPY,0.0216,4,1/4/22,TSLA,0.0661,1
1/5/22,AAPL,0.0343,0,1/5/22,SPY,0.0259,4,1/5/22,TSLA,0.0475,1
1/6/22,AAPL,0.0375,1,1/6/22,SPY,0.0253,5,1/6/22,TSLA,0.0543,1
1/7/22,AAPL,0.0406,0,1/7/22,SPY,0.0244,5,1/7/22,TSLA,0.055,1
1/10/22,AAPL,0.0372,-1,1/10/22,SPY,0.027,4,1/10/22,TSLA,0.054,1
1/11/22,AAPL,0.04,-1,1/11/22,SPY,0.0258,3,1/11/22,TSLA,0.0445,2
1/12/22,AAPL,0.0394,0,1/12/22,SPY,0.0275,4,1/12/22,TSLA,0.0548,2
1/13/22,AAPL,0.0347,2,1/13/22,SPY,0.0283,5,1/13/22,TSLA,0.0542,2
1/14/22,AAPL,0.0339,1,1/14/22,SPY,0.0277,6,1/14/22,TSLA,0.0406,2
1/18/22,AAPL,0.0343,2,1/18/22,SPY,0.0296,5,1/18/22,TSLA,0.0334,1
1/19/22,AAPL,0.0362,2,1/19/22,SPY,0.0306,6,1/19/22,TSLA,0.0443,1
1/26/22,AAPL,0.0338,2,1/20/22,SPY,0.0312,4,1/20/22,TSLA,0.0366,1
1/20/22,AAPL,0.0365,2,1/21/22,SPY,0.0309,5,1/21/22,TSLA,0.0458,1
1/21/22,AAPL,0.0365,0,1/24/22,SPY,0.0328,5,1/24/22,TSLA,0.0524,1
1/24/22,AAPL,0.0341,-2,1/25/22,SPY,0.0348,4,1/25/22,TSLA,0.0471,1
1/25/22,AAPL,0.0379,-1,1/26/22,SPY,0.0334,4,1/26/22,TSLA,0.0558,2
1/27/22,AAPL,0.0378,3,1/27/22,SPY,0.0325,3,1/27/22,TSLA,0.0798,2
1/28/22,AAPL,0.0605,2,1/28/22,SPY,0.0323,2,1/28/22,TSLA,0.0755,0
1/31/22,AAPL,0.0413,1,1/31/22,SPY,0.0304,-1,1/31/22,TSLA,0.0636,0
2/1/22,AAPL,0.0355,2,2/1/22,SPY,0.0277,0,2/1/22,TSLA,0.0454,0
2/2/22,AAPL,0.0308,2,2/2/22,SPY,0.0285,0,2/2/22,TSLA,0.0369,0
2/3/22,AAPL,0.0283,1,2/3/22,SPY,0.0284,1,2/3/22,TSLA,0.0438,0
2/4/22,AAPL,0.0266,0,2/4/22,SPY,0.0335,-1,2/4/22,TSLA,0.0412,0
2/7/22,AAPL,0.0264,0,2/7/22,SPY,0.029,-1,2/7/22,TSLA,0.0439,1
2/8/22,AAPL,0.0335,0,2/8/22,SPY,0.0281,1,2/8/22,TSLA,0.0328,1
2/9/22,AAPL,0.0288,0,2/9/22,SPY,0.0274,-2,2/9/22,TSLA,0.0331,1
2/10/22,AAPL,0.0257,0,2/10/22,SPY,0.0314,0,2/10/22,TSLA,0.0315,1
2/11/22,AAPL,0.0284,-1,2/11/22,SPY,0.0339,2,2/11/22,TSLA,0.0419,1
2/14/22,AAPL,0.027,-3,2/14/22,SPY,0.0344,2,2/14/22,TSLA,0.04,0
2/15/22,AAPL,0.0253,-2,2/15/22,SPY,0.0293,2,2/15/22,TSLA,0.0364,0
2/16/22,AAPL,0.0231,-2,2/16/22,SPY,0.0272,0,2/16/22,TSLA,0.0309,0
2/17/22,AAPL,0.0224,-3,2/17/22,SPY,0.0254,2,2/17/22,TSLA,0.0327,1
2/18/22,AAPL,0.0286,-5,2/18/22,SPY,0.0331,2,2/18/22,TSLA,0.0383,1
