,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
timestamp,,,,,,,,,,,,,,,,,,,,,
2022-01-03 05:00:00+00:00,177.83,182.88,177.71,182.01,104689466,772366,181.41552,476.3,477.85,473.85,477.71,72604064,534803,476.526964,1147.75,1201.07,1136.04,1199.78,34890336,1162659,1170.754238
2022-01-04 05:00:00+00:00,182.64,182.94,179.12,179.7,99433260,831617,180.55394,479.22,479.98,475.58,477.55,71129958,565259,477.868706,1189.55,1208.0,1123.05,1149.59,33512632,1051348,1162.182187
2022-01-05 05:00:00+00:00,179.61,180.17,174.65,174.835,86753605,844517,177.49778,477.16,477.98,468.29,468.38,102085598,784945,473.338984,1146.65,1170.34,1081.0101,1088.12,26748880,810846,1126.646002
2022-01-06 05:00:00+00:00,172.7,175.3,171.64,172.0,96792589,958688,173.079885,467.89,470.82,465.43,467.94,86499197,803296,468.480666,1077.0,1088.0,1020.5,1064.7,30134340,880379,1060.305232
2022-01-07 05:00:00+00:00,172.89,174.14,171.03,172.17,87682412,716118,172.439116,467.95,469.2,464.65,466.09,84895774,623749,466.940793,1080.37,1080.9299,1010.0,1026.96,28053117,823207,1039.254771
2022-01-10 05:00:00+00:00,169.08,172.5,168.17,172.19,106444891,952232,170.288204,462.7,465.74,456.5973,465.51,118474538,956590,461.592307,1000.0,1059.1,980.0,1058.12,30569295,970202,1017.299586
2022-01-11 05:00:00+00:00,172.32,175.18,170.82,175.08,76138430,649655,173.633654,465.24,469.85,462.05,469.73,74303062,626794,466.488708,1053.67,1075.85,1038.82,1064.4,22027070,644110,1060.484698
2022-01-12 05:00:00+00:00,176.12,177.18,174.82,175.53,74742204,642012,175.834544,471.59,473.2,468.94,471.02,67555928,631538,470.995671,1078.73,1114.84,1072.5901,1106.22,27903594,761281,1095.952253
2022-01-13 05:00:00+00:00,175.79,176.62,171.79,172.19,84442852,690265,173.974502,472.19,472.88,463.44,464.53,90905992,722273,467.939629,1109.065,1115.6,1026.5391,1031.56,32432338,923597,1068.594147
2022-01-14 05:00:00+00:00,171.34,173.78,171.09,173.07,80361306,671332,172.360857,461.19,465.09,459.9,464.72,95697800,854513,462.94745,1019.99,1052.0,1013.3788,1049.61,24298971,709972,1035.147281
2022-01-18 05:00:00+00:00,171.51,172.54,169.405,169.8,90983726,778550,170.541055,459.74,459.96,455.31,456.49,109577757,909384,457.969755,1026.605,1070.7899,1016.06,1030.51,22367535,662348,1042.164518
2022-01-19 05:00:00+00:00,170.0,171.08,165.94,166.23,94640853,821497,168.300017,458.13,459.6124,451.46,451.75,109067113,878537,455.492631,1041.705,1054.6699,995.0,995.65,25129165,827617,1015.369728
2022-01-20 05:00:00+00:00,166.98,169.68,164.18,164.51,91144617,791965,167.071114,453.75,458.74,444.5,446.75,121602450,979661,452.369047,1009.73,1041.66,994.0,996.27,23460122,711282,1018.912473
2022-01-21 05:00:00+00:00,164.415,166.33,162.3,162.41,122230144,1072318,163.879746,445.56,448.06,437.95,437.98,201250939,1874618,442.537428,996.34,1004.55,940.5,943.9,34362369,1142232,963.810474
2022-01-24 05:00:00+00:00,160.02,162.3,154.7,161.62,160586365,1605312,158.665953,432.03,440.38,420.76,439.84,246845274,3199813,430.573525,904.99,933.5131,851.47,930.0,50240538,1580266,887.445649
