date,Month,Year,TSLA,sentiment,TSLA_close
1/3/22,January,2022,TSLA,1,1199.78
1/4/22,January,2022,TSLA,1,1149.59
1/5/22,January,2022,TSLA,1,1088.12
1/6/22,January,2022,TSLA,1,1064.70
1/7/22,January,2022,TSLA,1,1026.96
1/10/22,January,2022,TSLA,1,1058.12
1/11/22,January,2022,TSLA,2,1064.40
1/12/22,January,2022,TSLA,2,1106.22
1/13/22,January,2022,TSLA,2,1031.56
1/14/22,January,2022,TSLA,2,1049.61
1/18/22,January,2022,TSLA,1,1030.51
1/19/22,January,2022,TSLA,1,995.65
1/26/22,January,2022,TSLA,1,937.41
1/20/22,January,2022,TSLA,1,996.27
1/21/22,January,2022,TSLA,1,943.90
1/24/22,January,2022,TSLA,1,930.00
1/25/22,January,2022,TSLA,2,918.40
1/27/22,January,2022,TSLA,2,829.10
1/28/22,January,2022,TSLA,0,846.35
1/31/22,January,2022,TSLA,0,936.72
2/1/22,February,2022,TSLA,0,931.25
2/2/22,February,2022,TSLA,0,905.66
2/3/22,February,2022,TSLA,0,891.14
2/4/22,February,2022,TSLA,0,923.32
2/7/22,February,2022,TSLA,1,907.34
2/8/22,February,2022,TSLA,1,922.00
2/9/22,February,2022,TSLA,1,932.00
2/10/22,February,2022,TSLA,1,904.55
2/11/22,February,2022,TSLA,1,860.00
2/14/22,February,2022,TSLA,0,875.76
2/15/22,February,2022,TSLA,0,922.43
2/16/22,February,2022,TSLA,0,923.39
2/17/22,February,2022,TSLA,1,876.35
2/18/22,February,2022,TSLA,1,856.98
2/22/22,February,2022,TSLA,1,821.53
3/2/22,February,2022,TSLA,1,879.89
2/23/22,February,2022,TSLA,1,764.04
2/24/22,February,2022,TSLA,2,800.77
2/25/22,February,2022,TSLA,2,809.87
2/28/22,February,2022,TSLA,2,870.43
3/1/22,March,2022,TSLA,2,864.37
3/3/22,March,2022,TSLA,2,839.29
3/8/22,March,2022,TSLA,1,824.40
3/4/22,March,2022,TSLA,0,838.29
3/7/22,March,2022,TSLA,0,804.58
3/9/22,March,2022,TSLA,0,858.97
3/10/22,March,2022,TSLA,1,838.30
3/11/22,March,2022,TSLA,2,795.35
3/14/22,March,2022,TSLA,2,766.03
3/15/22,March,2022,TSLA,2,801.89
3/16/22,March,2022,TSLA,1,840.23
3/17/22,March,2022,TSLA,1,871.60
3/18/22,March,2022,TSLA,1,905.39
3/21/22,March,2022,TSLA,2,921.16
3/22/22,March,2022,TSLA,2,993.98
3/23/22,March,2022,TSLA,2,999.11
3/24/22,March,2022,TSLA,2,1013.92
3/25/22,March,2022,TSLA,2,1010.64
3/29/22,March,2022,TSLA,2,1099.57
3/28/22,March,2022,TSLA,2,1091.84
3/31/22,March,2022,TSLA,2,1077.60
